canon	variant
'Ayn Qasiyya	'Ayn Qasiyya
'Ayn Qasiyya	Ayn Qasiyah
'Ayn Qasiyya	Ayn Qasiyya
Abadah	Abadah
Abd el Aziz	Abd el Aziz
Abdul Hosein	Abdul Hosein
Abu Gosh	Abu Gosh
Abu Hamid	Abu Hamid
Abu Hureyra	Abu Hureyra
Abu Hureyra	Abu Hureyra 2A-C
Abu Hureyra	Abu Hureyra I
Abu Hureyra	Tell Abu Hureyra
Abu Khamis	Abu Khamis
Abu Madi I	Abu Madi I
Abu Matar	Abu Matar
Abu Salabikh	Abu Salabikh
Abu Salem	Abu Salem
Abu Snesleh	Abu Snesleh
Ahihud	Ahihud
Ai	Ai
Ain Abu Nukhayla	Ain Abu Nukhayla
Ain Ghazal	Ain Ghazal
Ain Ghazal	'Ain Ghazal
Ain Ghazal	Ayn Ghazal
Ain Ghazal	'Ayn Ghazal
Ain Jammam	Ain Jammam
Ain Mallaha	Ain Mallaha
Ain Rahub	Ain Rahub
Ain Waida'	Ain Waida'
Ais Giorkis	Ais Giorkis
Ais Giorkis	Ais Yiorkis
Ais Giorkis	Kritou-Marottou - Ais Yiorkis
Ais Giorkis	Krittou Marottou 'Ais Yiorkis
Akanthou/Tatlısu	Akantho-Arkosyko
Akanthou/Tatlısu	Akanthou-Arkosyko
Akanthou/Tatlısu	Akanthou-Tatlisu (CiflikDuzu,Arkosyko)
Akanthou/Tatlısu	Akanthou/Tatlısu
Akanthou/Tatlısu	Tatlısu-Çiftlikdüzü
Akarçay Tepe	Akarçay Tepe
Aknashen-Khatunarkh	Aknashen-Khatunarkh
Akrotiri-Aetokremnos	Akrotiri-Aetokremnos
Akrotiri-Aetokremnos	simmons 1991 Akrotiri-Aetokremn
Aktopraklik	Aktopraklik
Al-Basatin	Al-Basatin
Al-Magass	Al-Magass
Al-Mujarshab	Al-Mujarshab
Ali Kosh	Ali Kosh
Ali Kosh	Tepe Ali Kosh
Ali Tappeh	Ali Tappeh
Amnon cave	Amnon cave
Amud cave	Amud cave
Aphrodisias-Pekmez	Aphrodisias-Pekmez
Aratashen	Aratashen
Ard Tlaili	Ard Tlaili
Areni 1	Areni 1
Areni 1	Areni 1 cave
Arjoune	Arjoune
Arpachiyah	Arpachiyah
Arslantepe	Arslantepe
Arukhlo 1	Arukhlo 1
Arvalya Höyük	Arvalya Höyük
Arīsmān	Arīsmān
Asagi Pinar	Asagi Pinar
Ashkelon	Ashkelon
Asiab	Asiab
Asiab	Tappeh Asiab
Asiab	Tepe Asiab
Atlit-Yam	Atlit-Yam
Ayia Varvara Asprokremnos	Ayia Varvara Asprokremnos
Ayios Epiktitos Vrysi	Ayios Epiktitos Vrysi
Ayios Tychonas Klimonas	Ayios Tychonas Klimonas
Ayn Abu Nakhayla	Ayn Abu Nukhayla
Azariq 8	Azariq 8
Azraq 31	Azraq 31
Aşıklı Höyük	Aşıklı Höyük
Ba'ja	Ba'ja
Ba'ja	Baja
Baaz	Baaz
Baaz	Baaz Rockshelter
Bab edh-Dhra	Bab edh-Dhra
Bademagaci	Bademagaci
Balas	Balas
Banahilk	Banahilk
Barcin Höyük	Barcin Höyük
Basta	Basta
Basta	Basta I
Bavra Ablari	Bavra Ablari
Bawwab al-Ghazal	Bawwab al-Ghazal
Beidha	Beidha
Belt	Belt
Belt	Belt cave
Bendebal	Bendeabal
Bnei Brak	Bnei Brak
Bnei Beraq	Bnei Beraq
Besik-Sivritepe	Besik-Sivritepe
Bestansur	Bestansur
Beth Shemesh	Beth Shemesh
Betzet 1	Betzet 1
Bir Safadi	Bir Safadi
Bog-i-No	Bog-i-No
Bogazköy	Bogazköy
Bondi	Bondi
Bondi	Bondi cave
Bondi	Bondi cave, Chiatura
Bouqras	Bouqras
Bouqras	Bouqraz
Bouqras	Tell Bouqras
Burqu 27	Burqu 27
Burqu 3	Burqu 3
Burqu 35	Burqu 35
Byblos	Byblos
Caesarea Maritima	Caesarea Maritima
Cafer Höyük	Cafer Höyük
Can Hasan I	Can Hasan I
Can Hasan III	Can Hasan III
Can Hasan III	Can Hassan III
Cape Andreas Kastros	Cape Andreas Kastros
Cape Andreas Kastros	Cape Andreas Kastros, Rizokarpaso
Cape Andreas Kastros	Cape Andreas-Kastros
Çayboyu	Çayboyu
Çayboyu	Cayboyu (Asvan)
Chagar Bazar	Chagar Bazar
Chagha Sefid	Chaga Sefid
Chagha Sefid	Chagha Sefid
Chalagan	Chalagan
Cheshmeh-Ali	Cheshmeh-Ali
Choga Mami	Choga Mami
Chogha Bonut	Chogha Bonut
Chogha Golan	Chogha Golan
Chogha Mish	Chogha Mish
Chogha Sefid	Chogha Sefid
Chramis Didi-Gora V	Chramis Didi-Gora V
Dalma 11	Dalma 11
Dalma Tepe	Dalma Tepe
Damishliyah	Damishliyah
Damjili	Damjili
Damjili	Damjili cave
Dava Göz	Dava Göz
Dederiyeh Cave	Dederiyeh
Dederiyeh Cave	Dederiyeh Cave
Degirmentepe	Degirmentepe
Demircihöyük	Demircihöyük
Demirköy	Demirköy
Derekutuğun	Derekutuğun
Dewischwreli	Dewischwreli
Dewischwreli	Dewischwreli cave
Dhali Agridhi	Dhali Agridhi
Dhra'	Dhra'
Dhuweila	Dhuweila
Dhuweila	Dhuweila 1
Dhuweila	Dhuweila 2
Dhuweila	Dhuweilla
Dja'de	Dj'ade
Dja'de	Dj'ade el Mughara
Dja'de	Dja'de
Dja'de	Dja’de
Dja'de	Dja'de el Mughara
Dja'de	Djade
Dja'de	Tell Dja'de el-Mughara
Domuztepe	Domuztepe
Douara Cave	Douara Cave
Dzudzuana	Dzudzuana
Dzudzuana	Dzudzuana cave, Mghvimevi
East Chia Sabz	Chia Sabz
East Chia Sabz	East Chia Sabz
Ege Gübre	Ege Gübre
Eilat	Eilat
Ein Um Ahmad	Ein Um Ahmad
Ein el-Jarba	Ein el-Jarba
El Kowm I	El Kowm 1
El Kowm I	El Kowm I
El Kowm I	El Kowm I (EkIa)
El Kowm I	El Kowm I (EkIb)
El Kowm II	El Kowm 2
El Kowm II	El Kowm II
El Wad	Al Wad
El Wad	El Wad
El Wad	el-Wad
El Wad Cave	Al Wad Cave
El Wad Cave	El Wad Cave
El Wad Terrace	Al Wad Terrace
El Wad Terrace	El Wad Terrace
El-Hemmeh	El-Hemmeh
